from_json,title,description,Topic Label,Positive/Negative/Neutral
Nov18_Left_pre.json,Zohran Mamdani faces pushback over his story about a family member’s post-9/11 fears,N/A,Mayoral Election (analysis),Negative
Nov18_Left_pre.json,"In emotional speech, Mamdani defends Muslim identity against 'racist' attacks...","Zohran Mamdani, the Democratic nominee for New York City mayor, is pledging to embrace his Muslim identity amid growing attacks in the final days of the campaign. In an emotional address outside a Bronx mosque Friday, Mamdani said recent comments by Cuomo and…",Racism,Positive
Nov18_Left_pre.json,Democrats are searching for their next leader. But they still have Obama.,"Obama’s reemergence is a reminder of the rudderlessness of the Democratic Party, which is still reeling from stinging losses in 2024.",Democrat Party Politics,Negative
Nov18_Left_pre.json,The 25 Young(ish) New Democrats to Watch,"Who, beyond Alexandria Ocasio-Cortez, Zohran Mamdani, and Jon Ossoff, are most likely to rebuild the Democratic Party?",Democrat Party Politics,Positive
Nov18_Left_pre.json,Is the Democratic Party’s Future Zohran Mamdani or Mikie Sherrill?,New York and New Jersey are running a sort of experiment on the Democratic Party. Is the future an outsider like Zohran Mamdani or an Establishment figure like Mikie Sherrill? David Freedlander reports.,Democrat Party Politics,Negative
Nov18_Left_pre.json,"Mamdani Is a New York Miracle, Not a National Model for Democrats","Zohran Mamdani is doing better and generating more excitement than centrist 2025 candidates like Mikie Sherrill and Abigail Spanberger. But that’s mostly about the context. Mamdani is a New York miracle, not a national model for Democrats.",Democrat Party Politics,Positive
Nov18_Left_pre.json,Cuomo Laughed When He Was Told Mamdani Would Cheer Another 9/11,"During an AM radio interview, Andrew Cuomo seemed to laugh at host Sid Rosenberg’s claim that Zohran Mamdani would cheer another 9/11. Mamdani called the moment ‘disgusting,’ while the Cuomo campaign swears it’s not what it sounds like.",Gossip,Negative
Nov18_Left_pre.json,The Heiress Who Could Make or Break the Socialist Mayor,"Police commissioner Jessica Tisch and Zohran Mamdani don’t seem to have much in common, but they could be a powerful duo, Ross Barkan writes.",Mayoral Election (analysis),Positive
Nov18_Left_pre.json,Record-Breaking Early Voting Looks Good for Mamdani,"Voters turned out in record numbers during the first weekend of early voting, a possible boon to Zohran Mamdani who benefited from high enthusiasm in June.",Mayoral Election (coverage),Positive
Nov18_Left_pre.json,Schumer Still Mum on Mamdani Endorsement As Election Day Looms,"With Election Day less than a week away, Senate majority leader Chuck Schumer has yet to endorse Zohran Mamdani, telling a reporter that they’re continuing to talk.",Mayoral Election (analysis),Negative
