from_json,title,description,Topic Label
Nov18_Left_pre.json,Zohran Mamdani faces pushback over his story about a family member’s post-9/11 fears,,Mayoral Election (analysis)
Nov18_Left_pre.json,"In emotional speech, Mamdani defends Muslim identity against 'racist' attacks...","Zohran Mamdani, the Democratic nominee for New York City mayor, is pledging to embrace his Muslim identity amid growing attacks in the final days of the campaign. In an emotional address outside a Bronx mosque Friday, Mamdani said recent comments by Cuomo and…",Racism
Nov18_Left_pre.json,Democrats are searching for their next leader. But they still have Obama.,"Obama’s reemergence is a reminder of the rudderlessness of the Democratic Party, which is still reeling from stinging losses in 2024.",Democrat Party Politics
Nov18_Left_pre.json,The 25 Young(ish) New Democrats to Watch,"Who, beyond Alexandria Ocasio-Cortez, Zohran Mamdani, and Jon Ossoff, are most likely to rebuild the Democratic Party?",Democrat Party Politics
Nov18_Left_pre.json,Is the Democratic Party’s Future Zohran Mamdani or Mikie Sherrill?,New York and New Jersey are running a sort of experiment on the Democratic Party. Is the future an outsider like Zohran Mamdani or an Establishment figure like Mikie Sherrill? David Freedlander reports.,Democrat Party Politics
Nov18_Left_pre.json,"Mamdani Is a New York Miracle, Not a National Model for Democrats","Zohran Mamdani is doing better and generating more excitement than centrist 2025 candidates like Mikie Sherrill and Abigail Spanberger. But that’s mostly about the context. Mamdani is a New York miracle, not a national model for Democrats.",Democrat Party Politics
Nov18_Left_pre.json,Cuomo Laughed When He Was Told Mamdani Would Cheer Another 9/11,"During an AM radio interview, Andrew Cuomo seemed to laugh at host Sid Rosenberg’s claim that Zohran Mamdani would cheer another 9/11. Mamdani called the moment ‘disgusting,’ while the Cuomo campaign swears it’s not what it sounds like.",Gossip
Nov18_Left_pre.json,The Heiress Who Could Make or Break the Socialist Mayor,"Police commissioner Jessica Tisch and Zohran Mamdani don’t seem to have much in common, but they could be a powerful duo, Ross Barkan writes.",Mayoral Election (analysis)
Nov18_Left_pre.json,Record-Breaking Early Voting Looks Good for Mamdani,"Voters turned out in record numbers during the first weekend of early voting, a possible boon to Zohran Mamdani who benefited from high enthusiasm in June.",Mayoral Election (coverage)
Nov18_Left_pre.json,Schumer Still Mum on Mamdani Endorsement As Election Day Looms,"With Election Day less than a week away, Senate majority leader Chuck Schumer has yet to endorse Zohran Mamdani, telling a reporter that they’re continuing to talk.",Mayoral Election (analysis)
Nov18_Left_pre.json,What Do the Final New York Mayoral-Race Polls Say?,"With days to go before Election Night, here’s where Zohran Mamdani, Andrew Cuomo, and Curtis Sliwa currently stand in the mayoral polls.",Mayoral Election (analysis)
Nov18_Left_pre.json,Bill de Blasio Impostor Dupes U.K. Paper With Fake Anti-Mamdani Quotes,The Times of London was forced to retract an article after it ran quotes criticizing Zohran Mamdani from a person claiming to be former mayor Bill de Blasio.,Gossip
Nov18_Left_pre.json,Jeffries Finally Endorses Mamdani in the Most Tepid Way Possible,"After holding out for months, at almost the last possible moment before early voting begins, the House minority leader Hakeem Jeffries officially okayed the idea of Zohran Mamdani for mayor.",Mayoral Election (analysis)
Nov18_Left_pre.json,Will It Be Mamdani or Cuomo? Election Night Live Updates.,"Tonight’s the night. We’ll soon know whether the next mayor of New York will be Zohran Mamdani or Andrew Cuomo. Here are the latest results and updates, along with analysis and commentary, as Election Night plays out.",Mayoral Election (coverage)
Nov18_Left_pre.json,How Zohran Mamdani should confront Trump’s relentless intimidation campaign,This month is the 63rd anniversary of the Cuban missile crisis.,Trump
Nov18_Left_pre.json,"Sliwa Defies Intense Pressure From Cuomo, Post to Drop Out",All five of the city’s Republican Party chairmen issued a statement backing Curtis Sliwa as their nominee as other top conservatives are urging him to leave the race.,US Politics
Nov18_Left_pre.json,Zohran Mamdani said the quiet part out loud. Finally.,The New York City mayoral candidate released a video about his identity as a Muslim and the galling Islamophobia he has endured during his campaign.,Racism
Nov18_Left_pre.json,Six Things to Know Now That It’s Election Day,"When we may know the winner, what the turnout means so far, and some other things to think about now that mayoral race between Zohran Mamdani and Andrew Cuomo is about to end.",Mayoral Election (coverage)
Nov18_Left_pre.json,"As Mamdani nears victory, Democrats worry about national fallout",Democratic socialist Zohran Mamdani is on the cusp of a mayoral win in New York. And national Democrats are concerned about what that means for the party.,Democrat Party Politics
Nov18_Left_pre.json,Zohran Mamdani slams JD Vance for pushing ‘cheap jokes about Islamophobia’,"Zohran Mamdan hit back at JD Vance, accusing the vice president and opponent Andrew Cuomo of pushing “cheap jokes about Islamophobia.”",Racism
Nov18_Left_pre.json,Eric Adams Is Endorsing ‘Snake and Liar’ Cuomo for Mayor,Soon-to-be former mayor Eric Adams and former governor who wants to be mayor Andrew Cuomo are making nice in the hopes of stopping Zohran Mamdani. It’s not clear if Adams will also say Cuomo is no longer ‘a snake and a liar.’,Gossip
Nov18_Left_pre.json,Cuomo Is Racking Up Weird Last-Minute Endorsements,"In the final days of the mayoral race, former governor Andrew Cuomo has been racking up quasi-endorsements from Donald Trump, Elon Musk, and some self-professed foes.",Trump
Nov18_Left_pre.json,The Final Leg of New York’s Mayoral Race Has Gotten Ugly,"The last days have been marked by bigotry, bitterness, and broken friendships, writes columnist Errol Louis.",Mayoral Election (analysis)
Nov18_Left_pre.json,Why Almost All Signs Point to a Mamdani Victory,"A long talk with political analyst Michael Lange about what we’ve learned from the massive New York City early vote, the final phase of the campaign, and why he’s as confident as ever about Mamdani claiming a big victory.",Mayoral Election (coverage)
Nov18_Left_pre.json,Can Cuomo persuade enough New Yorkers to be scared of Mamdani?,"With less than a week to go in New York City’s mayoral race, Andrew Cuomo appeared on Fox News with host Maria Bartiromo to deliver his closing pitch to New Yorkers heading to the ballot box.",Mayoral Election (coverage)
Nov18_Left_pre.json,Trump endorses former Gov. Andrew Cuomo for New York City mayor,"The president had already offered tepid support in a CBS News interview aired on Monday, but doubled down just before the general election.",Trump
Nov18_Left_pre.json,Trump is on the ballot in these seven races,Several key races around the country will give an indication of President Donald Trump's continuing influence on politics.,Trump
Nov18_Left_pre.json,Elise Stefanik’s Bad Career Move: Running for Governor of New York,Elise Stefanik’s meteoric rise took a detour after Trump passed her over for the vice-presidency and then deep-sized her U.N. gig. Now she’s trying a very long shot at the New York governorship against Kathy Hochul in 2026.,Trump
Nov18_Left_pre.json,"Trump Lowers Flags, Says Nothing About Dick Cheney’s Death","Trump lowers flags but says nothing about Dick Cheney’s death. The White House hasn’t issued a statement or response on the death of the former VP, who once called Trump the greatest “threat to our Republic.”",Trump
Nov18_Left_pre.json,"Zohran Mamdani, Bernie Sanders and Alexandria Ocasio-Cortez slam Trump at raucous rally","New York City mayoral hopeful Zohran Mamdani and two of his most prominent backers, Sen.",Trump
Nov18_Left_pre.json,Hakeem Jeffries endorses Zohran Mamdani for New York City mayor,"House Minority Leader Hakeem Jeffries on Friday endorsed the Democratic nominee in the New York City mayoral race, Zohran Mamdani",Democrat Party Politics
Nov18_Left_pre.json,Trump says Jewish people who support Zohran Mamdani for New York City mayor are 'stupid',"President Donald Trump said Tuesday that any Jewish person who votes for Assemblyman Zohran Mamdani, the Democratic nominee for New York City mayor, is ""stupid.""“Any Jewish person that votes for Zohran Mamdani, a proven and self professed JEW HATER, is a stup…",Trump
Nov18_Center_pre.json,Texas Gov. Abbott says he’ll ‘impose 100% tariff’ on New Yorkers who move in,"The power to impose tariffs falls within the federal government’s authority in the Constitution, not the states.",NYC Exodus/Degredation
Nov18_Center_pre.json,"Election Day live updates: Key races unfold in New York City, New Jersey and Virginia","Follow live coverage of the U.S. November 4, 2025 elections: Results, analysis, key state and local races, and what they mean for the 2026 midterms.",Mayoral Election (coverage)
Nov18_Center_pre.json,National spotlight shines on NYC mayoral race as voters make final decisions,"All eyes are on New York City as Election Day arrives, marking the final opportunity for voters to weigh in on the high-stakes mayoral race.",Mayoral Election (coverage)
Nov18_Center_pre.json,NYC candidate Andrew Cuomo: 'You can be a New Yorker and not understand New Yorkers',Cuomo sat down with ABC News' Linsey Davis on Thursday.,Mayoral Election (analysis)
Nov18_Center_pre.json,Johnson defends calling anti-Trump protests 'hate America' rallies,"House Speaker Mike Johnson defended calling this weekend's ""No Kings"" rallies opposing President Donald Trump as ""hate America"" rallies.",Trump
Nov18_Center_pre.json,WATCH: NJ gubernatorial nominee surprised by son's return from Army on eve of election,"While campaigning at a bar in North Jersey on Monday, New Jersey Republican gubernatorial candidate Jack Ciattarelli was surprised by the return of his son, who is currently stationed in Kuwait.",US Politics
Nov18_Center_pre.json,WATCH: Texas attorney general sues makers of Tylenol over alleged autism claims,"Last month, President Trump claimed that Tylenol use during pregnancy is linked to an increased risk of autism, despite limited evidence to suggest an association.",Trump
Nov18_Center_pre.json,WATCH: 'A lot of questions being raised' after Trump orders nuclear weapons testing,"ABC News senior Pentagon reporter Luis Martinez on President Donald Trump ordering the Pentagon to resume nuclear testing on an ""equal basis"" to other countries' testing programs.",Trump
Nov18_Center_pre.json,WATCH: President Trump and Melania Trump celebrate Halloween at the White House,"President Trump and first lady Melania Trump welcomed trick-or-treaters to the White House on Thursday, an annual Halloween tradition.",Trump
