author,content,description,from_json,publishedAt,source.id,source.name,title,url
"Gloria Pazmino, CNN","In the final days of New York Citys mayoral race, Democratic nominee Zohran Mamdani has faced pushback over a story he told about his aunt being afraid to wear her hijab while riding the subway after…","In the final days of New York City’s mayoral race, Democratic nominee Zohran Mamdani has faced pushback over a story he told about his aunt being afraid to...",Nov18_Left_pre.json,2025-10-28T15:35:14Z,cnn,CNN,Zohran Mamdani faces pushback over his story about a family member’s post-9/11 fears,https://www.cnn.com/2025/10/28/politics/zohran-mamdani-sept-11-aunt
Jake Offenhartz,"NEW YORK (AP) Zohran Mamdani, the Democratic nominee for New York City mayor, pledged Friday to further embrace his Muslim identity in response to growing attacks by former Gov. Andrew Cuomo and his …","Zohran Mamdani, the Democratic nominee for New York City mayor, is pledging to embrace his Muslim identity amid growing attacks in the final days of the campaign. In an emotional address outside a Bronx mosque Friday, Mamdani said recent comments by Cuomo and…",Nov18_Left_pre.json,2025-10-25T10:37:37Z,associated-press,Associated Press,"In emotional speech, Mamdani defends Muslim identity against 'racist' attacks...",https://apnews.com/article/zohran-mamdani-andrew-cuomo-mayors-race-936dd6bd228dbae7b85ee30f2d8c88e7
Brakkton Booker and Madison Fernandez,"NORFOLK, Virginia Barack Obama reprised his role as the Democrats closer-in-chief on Saturday, filling a void for his still leaderless party in the waning days of the closely watched gubernatorial co…","Obama’s reemergence is a reminder of the rudderlessness of the Democratic Party, which is still reeling from stinging losses in 2024.",Nov18_Left_pre.json,2025-11-01T20:50:22Z,politico,Politico,Democrats are searching for their next leader. But they still have Obama.,https://www.politico.com/news/2025/11/01/barack-obama-2025-elections-spanberger-sherrill-mamdani-00632700
"Matt Stieb,Kaleigh Rogers","Who, beyond the well-known and much-profiled Alexandria Ocasio-Cortez, Zohran Mamdani, and Jon Ossoff, are the young people most likely to rebuild the Democratic Party? The bright lights of the next …","Who, beyond Alexandria Ocasio-Cortez, Zohran Mamdani, and Jon Ossoff, are most likely to rebuild the Democratic Party?",Nov18_Left_pre.json,2025-11-03T10:00:19Z,new-york-magazine,New York Magazine,The 25 Young(ish) New Democrats to Watch,http://nymag.com/intelligencer/article/new-generation-young-democrats-democratic-party-future-candidates-2028.html
David Freedlander,"Last weekend in New Jersey, Mikie Sherrill campaigned for governor at a senior center with Pennsylvania governor Josh Shapiro and at a community college in Camden with Arizona senator Mark Kelly, a t…",New York and New Jersey are running a sort of experiment on the Democratic Party. Is the future an outsider like Zohran Mamdani or an Establishment figure like Mikie Sherrill? David Freedlander reports.,Nov18_Left_pre.json,2025-10-29T09:00:20Z,new-york-magazine,New York Magazine,Is the Democratic Party’s Future Zohran Mamdani or Mikie Sherrill?,http://nymag.com/intelligencer/article/democrats-new-jersey-mikie-sherrill-zohran-mamdani.html
Ed Kilgore,The thing about off-year elections is that there are so few of them that its tempting to over-interpret their significance. Thats particularly true when the key races are viewed as tests for a Democr…,"Zohran Mamdani is doing better and generating more excitement than centrist 2025 candidates like Mikie Sherrill and Abigail Spanberger. But that’s mostly about the context. Mamdani is a New York miracle, not a national model for Democrats.",Nov18_Left_pre.json,2025-10-28T17:21:25Z,new-york-magazine,New York Magazine,"Mamdani Is a New York Miracle, Not a National Model for Democrats",http://nymag.com/intelligencer/article/mamdani-is-a-new-york-miracle-not-national-model-democrats.html
Nia Prater,"During an interview Thursday morning, former governor Andrew Cuomo appeared to laugh following a radio hosts assertion that Democratic nominee Zohran Mamdani, who would be the citys first Muslim mayo…","During an AM radio interview, Andrew Cuomo seemed to laugh at host Sid Rosenberg’s claim that Zohran Mamdani would cheer another 9/11. Mamdani called the moment ‘disgusting,’ while the Cuomo campaign swears it’s not what it sounds like.",Nov18_Left_pre.json,2025-10-23T19:18:32Z,new-york-magazine,New York Magazine,Cuomo Laughed When He Was Told Mamdani Would Cheer Another 9/11,http://nymag.com/intelligencer/article/cuomo-laughed-when-told-mamdani-would-cheer-another-9-11-sid-and-friends.html
Ross Barkan,"Last night, as he faced down Andrew Cuomo and Curtis Sliwa for the second and final time, Zohran Mamdani made what was arguably the biggest news of his campaign since the summer: He will keep Jessica…","Police commissioner Jessica Tisch and Zohran Mamdani don’t seem to have much in common, but they could be a powerful duo, Ross Barkan writes.",Nov18_Left_pre.json,2025-10-23T15:17:46Z,new-york-magazine,New York Magazine,The Heiress Who Could Make or Break the Socialist Mayor,http://nymag.com/intelligencer/article/jessica-tisch-nypd-zohran-mamdani.html
Nia Prater,"Early voting in the mayoral election began on Saturday, and initial figures show smashed numbers from the last race and even the June Democratic primary when high voter turnout elevated Zohran Mamdan…","Voters turned out in record numbers during the first weekend of early voting, a possible boon to Zohran Mamdani who benefited from high enthusiasm in June.",Nov18_Left_pre.json,2025-10-27T14:26:26Z,new-york-magazine,New York Magazine,Record-Breaking Early Voting Looks Good for Mamdani,http://nymag.com/intelligencer/article/nyc-mayor-early-voting-turnout-could-bode-well-for-mamdani.html
Nia Prater,"Last week, House Minority Leader Hakeem Jeffries issued his long-awaited endorsement of Zohran Mamdani, writing that the Democratic mayoral nominee has relentlessly focused on addressing the affordab…","With Election Day less than a week away, Senate majority leader Chuck Schumer has yet to endorse Zohran Mamdani, telling a reporter that they’re continuing to talk.",Nov18_Left_pre.json,2025-10-29T18:04:18Z,new-york-magazine,New York Magazine,Schumer Still Mum on Mamdani Endorsement As Election Day Looms,http://nymag.com/intelligencer/article/schumer-still-mum-on-backing-mamdani-as-election-day-looms.html
